A. mexicanum,C. dubia,Chlorella sp.,C. vulgaris,D. rerio,D. magna,P. subcapitata,S. mytilus,T. thermophila,X. laevis
1,10,10,1,1,1,1,1,2,2
,1,10,1,2,10,1,,,2
,10,10,1,,10,,,,
,10,10,1,,1,,,,
,10,10,1,,10,,,,
,10,10,,,,,,,
,10,10,,,,,,,
,10,10,,,,,,,
,10,10,,,,,,,
,10,,,,,,,,
,10,,,,,,,,
