A. mexicanum,C. dubia,Chlorella sp.,C. vulgaris,D. rerio,D. magna,P. subcapitata,S. mytilus,T. thermophila,X. laevis
10,10,1,1,10,1,1,1,1,10
,10,1,1,10,10,1,,,10
,10,1,1,,10,,,,
,10,1,1,,10,,,,
,10,1,1,,10,,,,
,10,1,,,,,,,
,10,1,,,,,,,
,10,1,,,,,,,
,10,1,,,,,,,
,10,,,,,,,,
,10,,,,,,,,
